state,2016,2017,2018,2019,2020,2021
Alabama,24.7,25.5,25.5,26.3,27.8,27.4
Alaska,29.6,28.8,30.2,30.2,31.9,32.8
Arizona,28.9,29.4,29.7,30.2,33.0,32.4
Arkansas,22.4,23.4,23.3,23.3,24.9,25.3
California,32.9,33.6,34.2,35.0,36.9,36.2
Colorado,39.9,41.2,41.7,42.7,44.2,44.4
Connecticut,38.6,38.7,39.6,39.8,42.4,42.1
Delaware,31.0,31.5,31.3,33.2,34.7,35.6
District of Columbia,56.8,57.3,60.4,59.7,63.6,63.0
Florida,28.6,29.7,30.4,30.7,33.7,33.2
Georgia,30.5,30.9,31.9,32.5,34.8,34.6
Hawaii,31.9,32.9,33.5,33.6,35.5,35.3
Idaho,27.6,26.8,27.7,28.7,30.9,30.7
Illinois,34.0,34.4,35.1,35.8,37.6,37.1
Indiana,25.6,26.8,27.1,26.9,28.9,28.9
Iowa,28.4,28.9,29.0,29.3,29.5,30.5
Kansas,32.8,33.7,33.8,34.0,35.1,35.4
Kentucky,23.4,24.0,24.8,25.1,27.4,27.0
Louisiana,23.4,23.8,24.3,25.0,27.2,26.4
Maine,30.1,32.1,31.5,33.2,33.5,36.0
Maryland,39.3,39.7,40.8,40.9,43.1,42.5
Massachusetts,42.7,43.4,44.5,45.0,46.9,46.6
Michigan,28.3,29.1,29.6,30.0,32.1,31.7
Minnesota,34.8,36.1,36.7,37.3,37.9,38.9
Mississippi,21.8,21.9,23.2,22.3,24.5,24.8
Missouri,28.5,29.1,29.5,30.2,31.9,31.7
Montana,31.0,32.3,31.7,33.6,34.6,34.8
Nebraska,31.4,31.7,32.4,33.2,33.3,34.4
Nevada,23.5,24.9,24.9,25.7,28.0,27.6
New Hampshire,36.6,36.9,36.8,37.6,40.2,40.2
New Jersey,38.6,39.7,40.8,41.2,43.1,43.1
New Mexico,27.2,27.1,27.7,27.7,30.1,30.1
New York,35.7,36.0,37.2,37.8,39.5,39.9
North Carolina,30.4,31.3,31.9,32.3,34.8,34.9
North Dakota,29.6,30.7,29.7,30.4,31.8,31.7
Ohio,27.5,28.0,29.0,29.3,30.6,30.7
Oklahoma,25.2,25.5,25.6,26.2,27.0,27.9
Oregon,32.7,33.7,34.0,34.5,36.3,36.3
Pennsylvania,30.8,31.4,31.8,32.3,34.0,34.5
Rhode Island,34.1,33.5,34.4,34.8,38.0,36.5
South Carolina,27.2,28.0,28.3,29.6,31.7,31.5
South Dakota,28.9,28.1,29.2,29.7,28.4,31.7
Tennessee,26.1,27.3,27.5,28.7,30.7,30.5
Texas,28.9,29.6,30.3,30.8,33.2,33.1
Utah,32.6,34.6,34.9,34.8,36.9,36.8
Vermont,36.4,38.3,38.7,38.7,42.1,44.4
Virginia,38.1,38.7,39.3,39.6,42.0,41.8
Washington,35.1,35.5,36.7,37.0,38.4,39.0
West Virginia,20.8,20.2,21.3,21.1,23.1,24.1
Wisconsin,29.5,30.4,30.0,31.3,31.8,32.5
Wyoming,27.1,27.6,26.9,29.1,28.2,29.2
